         100040387 function calls (100020844 primitive calls) in 21.030 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5938    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
        1    0.001    0.001    0.001    0.001 {built-in method _ctypes.LoadLibrary}
     8822    0.001    0.000    0.001    0.000 __init__.py:1790(isEnabledFor)
     4379    0.001    0.000    0.001    0.000 _weakrefset.py:17(__init__)
      331    0.000    0.000    0.001    0.000 numerictypes.py:470(issubdtype)
        6    0.000    0.000    0.001    0.000 linear.py:342(__init__)
      554    0.000    0.000    0.001    0.000 event.py:186(__init__)
     7260    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
     2162    0.000    0.000    0.001    0.000 glir.py:826(get_object)
      672    0.000    0.000    0.001    0.000 function.py:670(append)
   145/79    0.000    0.000    0.001    0.000 {built-in method __new__ of type object at 0x00007FF986B147C0}
     8430    0.001    0.000    0.001    0.000 variable.py:92(value)
        2    0.001    0.000    0.001    0.000 {built-in method _io.open}
      126    0.000    0.000    0.001    0.000 program.py:87(_dep_changed)
        3    0.000    0.000    0.001    0.000 linear.py:217(as_matrix)
       46    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        1    0.000    0.000    0.001    0.001 preprocessor.py:36(replace)
      315    0.000    0.000    0.001    0.000 ptime.py:14(time)
     1580    0.000    0.000    0.001    0.000 weakref.py:387(_commit_removals)
     1853    0.000    0.000    0.001    0.000 program.py:398(isscalar)
        6    0.000    0.000    0.001    0.000 viewbox.py:197(_update_scene_clipper)
      322    0.000    0.000    0.001    0.000 texture.py:174(_normalize_shape)
      310    0.000    0.000    0.001    0.000 _gl2.py:114(glBlendFuncSeparate)
      631    0.000    0.000    0.001    0.000 _ufunc_config.py:426(__exit__)
      984    0.000    0.000    0.001    0.000 shader_object.py:111(_add_dep)
       14    0.000    0.000    0.001    0.000 glir.py:895(__init__)
      156    0.000    0.000    0.001    0.000 canvas.py:822(__init__)
       84    0.000    0.000    0.001    0.000 visual.py:174(transforms)
      631    0.001    0.000    0.001    0.000 {method 'set' of '_contextvars.ContextVar' objects}
      654    0.000    0.000    0.001    0.000 event.py:388(_normalize_cb)
      934    0.001    0.000    0.001    0.000 _internal.py:937(npy_ctypes_check)
      318    0.000    0.000    0.001    0.000 buffer.py:423(_prepare_data)
      309    0.000    0.000    0.001    0.000 program.py:297(_process_pending_variables)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1171(exec_module)
        1    0.000    0.000    0.001    0.001 <frozen importlib.util>:1(<module>)
     1860    0.001    0.000    0.001    0.000 node.py:84(visible)
        6    0.000    0.000    0.001    0.000 linear.py:497(reset)
       17    0.000    0.000    0.001    0.000 linear.py:387(shader_imap)
     1850    0.000    0.000    0.001    0.000 buffer.py:369(id)
      310    0.000    0.000    0.001    0.000 wrappers.py:258(set_blend_func)
      230    0.000    0.000    0.001    0.000 __init__.py:389(__getattr__)
      250    0.000    0.000    0.001    0.000 variable.py:71(name)
       48    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:304(acquire)
        8    0.000    0.000    0.001    0.000 transform_system.py:308(framebuffer_transform)
     2043    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
     1846    0.000    0.000    0.001    0.000 globject.py:75(delete)
        1    0.000    0.000    0.001    0.001 _npyio_impl.py:310(load)
      790    0.001    0.000    0.001    0.000 _gl2.py:69(glBindTexture)
       39    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1206(path_stats)
        1    0.000    0.000    0.001    0.001 ft_structs.py:1(<module>)
      320    0.000    0.000    0.001    0.000 glir.py:1383(activate)
      309    0.001    0.000    0.001    0.000 _gl2.py:1289(glUseProgram)
      312    0.001    0.000    0.001    0.000 context.py:63(set_current_canvas)
     3720    0.001    0.000    0.001    0.000 {method 'values' of 'dict' objects}
     1552    0.001    0.000    0.001    0.000 context.py:45(get_current_canvas)
     5710    0.001    0.000    0.001    0.000 buffer.py:213(size)
       66    0.000    0.000    0.001    0.000 enum.py:254(__set_name__)
     1075    0.000    0.000    0.001    0.000 weakref.py:367(__init__)
       84    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
      312    0.001    0.000    0.001    0.000 _gl2.py:201(glColorMask)
        1    0.000    0.000    0.001    0.001 _qt.py:909(resizeGL)
      302    0.000    0.000    0.001    0.000 function.py:694(remove)
       47    0.001    0.000    0.001    0.000 {built-in method nt._path_isfile}
       45    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:615(_get_cached)
      150    0.000    0.000    0.001    0.000 parsing.py:138(find_template_variables)
     4379    0.001    0.000    0.001    0.000 {method 'remove' of 'set' objects}
     6021    0.001    0.000    0.001    0.000 buffer.py:198(dtype)
     3699    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
     3396    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       18    0.000    0.000    0.000    0.000 visual.py:545(attach)
       17    0.000    0.000    0.000    0.000 event.py:608(__init__)
      312    0.000    0.000    0.000    0.000 wrappers.py:400(set_color_mask)
     4490    0.000    0.000    0.000    0.000 globject.py:98(glir)
        1    0.000    0.000    0.000    0.000 canvas.py:502(on_resize)
      150    0.000    0.000    0.000    0.000 __init__.py:209(findall)
       37    0.000    0.000    0.000    0.000 __init__.py:331(_compile_template)
        1    0.000    0.000    0.000    0.000 canvas.py:623(_update_transforms)
       18    0.000    0.000    0.000    0.000 base_filter.py:91(_attach)
        1    0.000    0.000    0.000    0.000 transform_system.py:175(configure)
        1    0.000    0.000    0.000    0.000 pkgutil.py:319(extend_path)
       10    0.000    0.000    0.000    0.000 visual.py:184(get_transform)
     5324    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        5    0.000    0.000    0.000    0.000 linear.py:245(set_mapping)
        1    0.000    0.000    0.000    0.000 __init__.py:23(find_qt)
     1850    0.000    0.000    0.000    0.000 buffer.py:365(glir)
     1626    0.000    0.000    0.000    0.000 _parser.py:261(get)
       52    0.000    0.000    0.000    0.000 _gl2.py:575(glGetActiveUniform)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1648(_fill_cache)
      326    0.000    0.000    0.000    0.000 _internal.py:261(__init__)
       52    0.000    0.000    0.000    0.000 _gl2.py:831(glGetUniformLocation)
     2127    0.000    0.000    0.000    0.000 _type_check_impl.py:265(iscomplexobj)
     2521    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
      182    0.000    0.000    0.000    0.000 color_array.py:404(rgba)
     1121    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      631    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath._make_extobj}
       37    0.000    0.000    0.000    0.000 _parser.py:996(parse_template)
     3334    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
        1    0.000    0.000    0.000    0.000 markers.py:800(_prepare_transforms)
        4    0.000    0.000    0.000    0.000 widget.py:116(size)
   261/71    0.000    0.000    0.000    0.000 _parser.py:178(getwidth)
    274/8    0.000    0.000    0.000    0.000 shader_object.py:80(dependencies)
       14    0.000    0.000    0.000    0.000 mesh.py:155(set_data)
       22    0.000    0.000    0.000    0.000 __init__.py:226(compile)
        8    0.000    0.000    0.000    0.000 program.py:52(vert)
      155    0.000    0.000    0.000    0.000 _gl2.py:174(glClearColor)
      319    0.000    0.000    0.000    0.000 util.py:75(check_enum)
        6    0.000    0.000    0.000    0.000 colormap.py:245(__init__)
        7    0.000    0.000    0.000    0.000 visual.py:766(attach)
       11    0.000    0.000    0.000    0.000 buffer.py:417(__init__)
     4432    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      230    0.000    0.000    0.000    0.000 __init__.py:396(__getitem__)
      309    0.000    0.000    0.000    0.000 shader_object.py:121(_remove_dep)
      328    0.000    0.000    0.000    0.000 getlimits.py:688(__init__)
        1    0.000    0.000    0.000    0.000 Class_simulation.py:10(__init__)
      156    0.000    0.000    0.000    0.000 glir.py:1545(set_size)
      631    0.000    0.000    0.000    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
     1249    0.000    0.000    0.000    0.000 visual.py:198(visible)
     2652    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        6    0.000    0.000    0.000    0.000 colormap.py:125(_glsl_mix)
      662    0.000    0.000    0.000    0.000 numerictypes.py:288(issubclass_)
       17    0.000    0.000    0.000    0.000 linear.py:382(shader_map)
       74    0.000    0.000    0.000    0.000 visual.py:651(_subv_update)
       12    0.000    0.000    0.000    0.000 buffer.py:139(__init__)
     1862    0.000    0.000    0.000    0.000 _parser.py:168(__getitem__)
     2987    0.000    0.000    0.000    0.000 chain.py:52(transforms)
      100    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
       48    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
      326    0.000    0.000    0.000    0.000 _gl2.py:960(glPixelStorei)
       43    0.000    0.000    0.000    0.000 _parser.py:98(closegroup)
        2    0.000    0.000    0.000    0.000 transform_system.py:162(_update_if_maps_changed)
        1    0.000    0.000    0.000    0.000 timer.py:32(__init__)
       12    0.000    0.000    0.000    0.000 buffer.py:40(__init__)
      156    0.000    0.000    0.000    0.000 _gl2.py:51(glBindFramebuffer)
     3703    0.000    0.000    0.000    0.000 buffer.py:208(stride)
      312    0.000    0.000    0.000    0.000 _gl2.py:391(glDisable)
        6    0.000    0.000    0.000    0.000 cubehelix.py:35(cubehelix)
        8    0.000    0.000    0.000    0.000 texture.py:385(__setitem__)
       64    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1473(_path_importer_cache)
        1    0.000    0.000    0.000    0.000 _pyqt4.py:1(<module>)
       63    0.000    0.000    0.000    0.000 _compiler.py:243(_optimize_charset)
     1090    0.000    0.000    0.000    0.000 weakref.py:427(__setitem__)
        4    0.000    0.000    0.000    0.000 picking.py:27(__init__)
       28    0.000    0.000    0.000    0.000 _compiler.py:516(_compile_info)
       48    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1460(_path_hooks)
        5    0.000    0.000    0.000    0.000 {built-in method nt.listdir}
        1    0.000    0.000    0.000    0.000 ft_load_targets.py:1(<module>)
        2    0.000    0.000    0.000    0.000 glir.py:1055(create)
       40    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      312    0.000    0.000    0.000    0.000 {built-in method isValid}
       46    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1592(_get_spec)
        4    0.000    0.000    0.000    0.000 widget.py:349(_update_line)
        1    0.000    0.000    0.000    0.000 timer.py:95(start)
       17    0.000    0.000    0.000    0.000 linear.py:404(inv_matrix)
      772    0.000    0.000    0.000    0.000 function.py:333(args)
      337    0.000    0.000    0.000    0.000 event.py:372(disconnect)
        2    0.000    0.000    0.000    0.000 _gl2.py:266(glCreateProgram)
       32    0.000    0.000    0.000    0.000 __init__.py:114(WINFUNCTYPE)
      154    0.000    0.000    0.000    0.000 _gl2.py:409(glDrawArrays)
      324    0.000    0.000    0.000    0.000 {built-in method time.perf_counter}
      312    0.000    0.000    0.000    0.000 copy.py:231(_keep_alive)
        6    0.000    0.000    0.000    0.000 colormap.py:203(_process_glsl_template)
        8    0.000    0.000    0.000    0.000 _freetype.py:28(_load_font)
       47    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
     1252    0.000    0.000    0.000    0.000 visual.py:478(shared_program)
      684    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
       24    0.000    0.000    0.000    0.000 function_base.py:25(linspace)
     1192    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       15    0.000    0.000    0.000    0.000 _linalg.py:493(inv)
        1    0.000    0.000    0.000    0.000 _win32.py:11(get_dpi)
      310    0.000    0.000    0.000    0.000 _gl2.py:14(glActiveTexture)
       48    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
       30    0.000    0.000    0.000    0.000 visual.py:654(_transform_changed)
       11    0.000    0.000    0.000    0.000 _gl2.py:559(glGetActiveAttrib)
        1    0.000    0.000    0.000    0.000 _qt.py:961(_vispy_start)
      155    0.000    0.000    0.000    0.000 _gl2.py:418(glDrawElements)
     2796    0.000    0.000    0.000    0.000 canvas.py:276(context)
        4    0.000    0.000    0.000    0.000 _qt.py:523(mouseMoveEvent)
        1    0.000    0.000    0.000    0.000 {built-in method start}
        1    0.000    0.000    0.000    0.000 datasets.py:38(pack_unit)
      171    0.000    0.000    0.000    0.000 glir.py:1454(activate)
      311    0.000    0.000    0.000    0.000 _gl2.py:165(glClear)
     3331    0.000    0.000    0.000    0.000 shape_base.py:77(_atleast_2d_dispatcher)
        3    0.000    0.000    0.000    0.000 linear.py:193(zoom)
       18    0.000    0.000    0.000    0.000 visual.py:523(_get_hook)
       46    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:806(spec_from_file_location)
        1    0.000    0.000    0.000    0.000 __init__.py:1166(__init__)
     3416    0.000    0.000    0.000    0.000 context.py:137(glir)
        1    0.000    0.000    0.000    0.000 __init__.py:1197(_init_from_file)
     1066    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        2    0.000    0.000    0.000    0.000 text.py:605(_prepare_transforms)
       48    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      156    0.000    0.000    0.000    0.000 _qt.py:898(_vispy_get_fb_bind_location)
      712    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        4    0.000    0.000    0.000    0.000 color.py:117(__init__)
     1984    0.000    0.000    0.000    0.000 _parser.py:240(__next)
        7    0.000    0.000    0.000    0.000 clipper.py:42(bounds)
      156    0.000    0.000    0.000    0.000 _gl2.py:1163(glUniform1i)
      5/4    0.000    0.000    0.000    0.000 widget.py:418(_update_child_widgets)
     1223    0.000    0.000    0.000    0.000 event.py:103(blocked)
        3    0.000    0.000    0.000    0.000 linear.py:425(scale)
        9    0.000    0.000    0.000    0.000 base_filter.py:65(__init__)
        4    0.000    0.000    0.000    0.000 _gl2.py:1021(glShaderSource)
      159    0.000    0.000    0.000    0.000 profiler.py:64(__new__)
     2168    0.000    0.000    0.000    0.000 globject.py:93(id)
    21/16    0.000    0.000    0.000    0.000 node.py:388(_update_trsys)
      155    0.000    0.000    0.000    0.000 {built-in method surface}
       14    0.000    0.000    0.000    0.000 _shape_base_impl.py:1197(tile)
       18    0.000    0.000    0.000    0.000 function.py:760(add)
      621    0.000    0.000    0.000    0.000 node.py:96(name)
        1    0.000    0.000    0.000    0.000 widget.py:242(rect)
        4    0.000    0.000    0.000    0.000 _gl2.py:767(glGetShaderParameter)
       78    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        3    0.000    0.000    0.000    0.000 widget.py:397(_update_colors)
      254    0.000    0.000    0.000    0.000 compiler.py:173(_is_global)
       31    0.000    0.000    0.000    0.000 function.py:701(definition)
       72    0.000    0.000    0.000    0.000 __init__.py:1576(get_kerning)
      309    0.000    0.000    0.000    0.000 weakref.py:503(pop)
     1699    0.000    0.000    0.000    0.000 program.py:503(<genexpr>)
       26    0.000    0.000    0.000    0.000 globject.py:54(__init__)
      703    0.000    0.000    0.000    0.000 inspect.py:302(isclass)
      807    0.000    0.000    0.000    0.000 _parser.py:176(append)
        4    0.000    0.000    0.000    0.000 glir.py:916(create)
        4    0.000    0.000    0.000    0.000 function.py:522(version_pragma)
       56    0.000    0.000    0.000    0.000 enum.py:1556(__and__)
      156    0.000    0.000    0.000    0.000 _gl2.py:466(glFlush)
        3    0.000    0.000    0.000    0.000 {built-in method nt._path_exists}
      155    0.000    0.000    0.000    0.000 transform_system.py:251(dpi)
      779    0.000    0.000    0.000    0.000 {method 'groups' of 're.Match' objects}
       11    0.000    0.000    0.000    0.000 _gl2.py:604(glGetAttribLocation)
      216    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      158    0.000    0.000    0.000    0.000 texture.py:283(_check_format_change)
        4    0.000    0.000    0.000    0.000 _gl2.py:275(glCreateShader)
      980    0.000    0.000    0.000    0.000 fromnumeric.py:2395(_any_dispatcher)
      174    0.000    0.000    0.000    0.000 base_transform.py:133(_shader_object)
        7    0.000    0.000    0.000    0.000 node.py:214(_add_child)
      157    0.000    0.000    0.000    0.000 weakref.py:454(__contains__)
        5    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      177    0.000    0.000    0.000    0.000 compiler.py:186(_name_available)
        3    0.000    0.000    0.000    0.000 linear.py:410(translate)
     2013    0.000    0.000    0.000    0.000 glir.py:901(handle)
       54    0.000    0.000    0.000    0.000 chain.py:241(__del__)
        2    0.000    0.000    0.000    0.000 visuals.py:48(_set_clipper)
     1182    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      310    0.000    0.000    0.000    0.000 wrappers.py:76(_to_args)
     1850    0.000    0.000    0.000    0.000 buffer.py:373(_last_dim)
       12    0.000    0.000    0.000    0.000 enum.py:513(__prepare__)
      512    0.000    0.000    0.000    0.000 visual.py:170(transforms)
        1    0.000    0.000    0.000    0.000 format.py:765(read_array)
        4    0.000    0.000    0.000    0.000 base.py:198(_vispy_mouse_move)
       51    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
      631    0.000    0.000    0.000    0.000 _ufunc_config.py:400(__init__)
      413    0.000    0.000    0.000    0.000 enum.py:202(__get__)
       40    0.000    0.000    0.000    0.000 chain.py:208(_subtr_changed)
      569    0.000    0.000    0.000    0.000 _parser.py:256(match)
     2506    0.000    0.000    0.000    0.000 copy.py:172(_deepcopy_atomic)
      654    0.000    0.000    0.000    0.000 inspect.py:306(ismethod)
      485    0.000    0.000    0.000    0.000 node.py:256(canvas)
     1062    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      159    0.000    0.000    0.000    0.000 glir.py:1389(set_size)
       65    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        3    0.000    0.000    0.000    0.000 _gl2.py:1275(glUniformMatrix4fv)
       14    0.000    0.000    0.000    0.000 mesh.py:275(mesh_data_changed)
       51    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
     1850    0.000    0.000    0.000    0.000 buffer.py:383(offset)
      150    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
      361    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
        4    0.000    0.000    0.000    0.000 picking.py:37(id)
       35    0.000    0.000    0.000    0.000 _gl2.py:1211(glUniform4fv)
        1    0.000    0.000    0.000    0.000 {built-in method windowHandle}
        8    0.000    0.000    0.000    0.000 __init__.py:1518(load_char)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1689(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 __init__.py:12(find)
      703    0.000    0.000    0.000    0.000 event.py:256(source)
        1    0.000    0.000    0.000    0.000 canvas.py:155(scene)
        4    0.000    0.000    0.000    0.000 color.py:126(alpha)
      323    0.000    0.000    0.000    0.000 _internal.py:315(data)
      155    0.000    0.000    0.000    0.000 glir.py:1386(deactivate)
       26    0.000    0.000    0.000    0.000 rect.py:200(_transform_in)
      616    0.000    0.000    0.000    0.000 arrayprint.py:930(_none_or_positive_arg)
        1    0.000    0.000    0.000    0.000 __init__.py:355(namedtuple)
        6    0.000    0.000    0.000    0.000 glir.py:1375(create)
        2    0.000    0.000    0.000    0.000 label.py:41(_set_pos)
       36    0.000    0.000    0.000    0.000 enum.py:961(_get_mixins_)
      106    0.000    0.000    0.000    0.000 compiler.py:196(_assign_name)
      592    0.000    0.000    0.000    0.000 function.py:641(signature)
        6    0.000    0.000    0.000    0.000 _gl2.py:502(glCreateBuffer)
      625    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       27    0.000    0.000    0.000    0.000 glir.py:538(__init__)
        3    0.000    0.000    0.000    0.000 text.py:508(pos)
        1    0.000    0.000    0.000    0.000 clipper.py:23(__init__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1299(exec_module)
      546    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
      635    0.000    0.000    0.000    0.000 glir.py:493(clear)
        3    0.000    0.000    0.000    0.000 _gl2.py:1219(glUniform1iv)
        2    0.000    0.000    0.000    0.000 viewbox.py:184(on_resize)
       24    0.000    0.000    0.000    0.000 node.py:573(node_path_transforms)
       39    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:670(_classify_pyc)
        9    0.000    0.000    0.000    0.000 function.py:306(__call__)
     2127    0.000    0.000    0.000    0.000 _function_base_impl.py:1457(_interp_dispatcher)
     2127    0.000    0.000    0.000    0.000 _type_check_impl.py:168(_is_type_dispatcher)
       14    0.000    0.000    0.000    0.000 meshdata.py:246(get_bounds)
       56    0.000    0.000    0.000    0.000 rect.py:15(__init__)
       47    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      133    0.000    0.000    0.000    0.000 shader_object.py:86(key)
      594    0.000    0.000    0.000    0.000 {method 'pop' of 'collections.OrderedDict' objects}
        6    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
      126    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
        9    0.000    0.000    0.000    0.000 expression.py:59(__init__)
        5    0.000    0.000    0.000    0.000 base_camera.py:509(_set_scene_transform)
    50/28    0.000    0.000    0.000    0.000 _compiler.py:441(_get_literal_prefix)
       41    0.000    0.000    0.000    0.000 _parser.py:449(_uniq)
        4    0.000    0.000    0.000    0.000 version.py:188(__init__)
       27    0.000    0.000    0.000    0.000 glir.py:453(__init__)
      468    0.000    0.000    0.000    0.000 widget.py:403(picking)
        4    0.000    0.000    0.000    0.000 picking.py:50(enabled)
       63    0.000    0.000    0.000    0.000 __init__.py:49(create_string_buffer)
       30    0.000    0.000    0.000    0.000 _compiler.py:391(_mk_bitmap)
      522    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 label.py:31(on_resize)
      211    0.000    0.000    0.000    0.000 linear.py:137(shader_map)
        8    0.000    0.000    0.000    0.000 texture.py:968(get_free_region)
        9    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
      164    0.000    0.000    0.000    0.000 glir.py:1461(_get_alignment)
        1    0.000    0.000    0.000    0.000 format.py:607(_read_array_header)
      418    0.000    0.000    0.000    0.000 _parser.py:164(__len__)
       24    0.000    0.000    0.000    0.000 node.py:526(node_path)
      514    0.000    0.000    0.000    0.000 event.py:245(callbacks)
      616    0.000    0.000    0.000    0.000 fromnumeric.py:2776(_max_dispatcher)
        8    0.000    0.000    0.000    0.000 fromnumeric.py:3068(prod)
       36    0.000    0.000    0.000    0.000 enum.py:1002(_find_data_type_)
      156    0.000    0.000    0.000    0.000 {built-in method defaultFramebufferObject}
        1    0.000    0.000    0.000    0.000 text.py:486(color)
       16    0.000    0.000    0.000    0.000 function.py:513(__init__)
      144    0.000    0.000    0.000    0.000 __init__.py:1346(get_char_index)
        9    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
      688    0.000    0.000    0.000    0.000 multiarray.py:1089(copyto)
      234    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      328    0.000    0.000    0.000    0.000 getlimits.py:712(max)
        8    0.000    0.000    0.000    0.000 program.py:137(__init__)
        4    0.000    0.000    0.000    0.000 program.py:56(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
      117    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      344    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       39    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:703(_validate_timestamp_pyc)
      156    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
       48    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      168    0.000    0.000    0.000    0.000 enum.py:1538(_get_value)
      780    0.000    0.000    0.000    0.000 context.py:144(shared)
       57    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
       62    0.000    0.000    0.000    0.000 _parser.py:372(_escape)
       47    0.000    0.000    0.000    0.000 __init__.py:101(find_spec)
      468    0.000    0.000    0.000    0.000 buffer.py:456(divisor)
       63    0.000    0.000    0.000    0.000 _compiler.py:216(_compile_charset)
       43    0.000    0.000    0.000    0.000 variable.py:172(definition)
        7    0.000    0.000    0.000    0.000 rect.py:138(normalized)
      309    0.000    0.000    0.000    0.000 timer.py:91(running)
        6    0.000    0.000    0.000    0.000 buffer.py:236(resize_bytes)
        1    0.000    0.000    0.000    0.000 _qt.py:952(__init__)
      554    0.000    0.000    0.000    0.000 event.py:233(print_callback_errors)
       47    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      942    0.000    0.000    0.000    0.000 variable.py:79(vtype)
        2    0.000    0.000    0.000    0.000 canvas.py:336(size)
      777    0.000    0.000    0.000    0.000 context.py:211(parser)
       90    0.000    0.000    0.000    0.000 enum.py:844(__setattr__)
        3    0.000    0.000    0.000    0.000 widget.py:412(_update_visibility)
        6    0.000    0.000    0.000    0.000 _gl2.py:123(glBufferData)
      616    0.000    0.000    0.000    0.000 fromnumeric.py:2920(_min_dispatcher)
      514    0.000    0.000    0.000    0.000 event.py:240(callback_refs)
     1064    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       47    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
       35    0.000    0.000    0.000    0.000 __init__.py:517(cast)
       17    0.000    0.000    0.000    0.000 {method 'repeat' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 glir.py:1302(_validate)
       20    0.000    0.000    0.000    0.000 rect.py:208(_transform_out)
      640    0.000    0.000    0.000    0.000 multiarray.py:161(concatenate)
      246    0.000    0.000    0.000    0.000 _parser.py:293(tell)
      126    0.000    0.000    0.000    0.000 enum.py:779(__delattr__)
        1    0.000    0.000    0.000    0.000 context.py:97(__init__)
        1    0.000    0.000    0.000    0.000 ast.py:56(literal_eval)
      413    0.000    0.000    0.000    0.000 enum.py:1286(value)
        1    0.000    0.000    0.000    0.000 cp1252.py:22(decode)
        1    0.000    0.000    0.000    0.000 __init__.py:85(version)
       47    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
        6    0.000    0.000    0.000    0.000 buffer.py:113(resize_bytes)
        2    0.000    0.000    0.000    0.000 _qt.py:486(_vispy_get_size)
      372    0.000    0.000    0.000    0.000 weakref.py:369(remove)
        2    0.000    0.000    0.000    0.000 {method 'connect' of 'PyQt5.QtCore.pyqtBoundSignal' objects}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1571(__init__)
        9    0.000    0.000    0.000    0.000 visual.py:202(visible)
        6    0.000    0.000    0.000    0.000 colormap.py:332(_default_controls)
      3/2    0.000    0.000    0.000    0.000 __init__.py:75(get_handle)
        1    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_decode}
      620    0.000    0.000    0.000    0.000 profiler.py:59(mark)
       47    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        2    0.000    0.000    0.000    0.000 base_camera.py:128(_viewbox_set)
      351    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 markers.py:768(light_color)
